,movie_name,year,rate,cast,director
125,"Crouching Tiger, Hidden Dragon",2000,97%,"Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chen Chang",Ang Lee
126,Predator,1987,80%,"Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Elpidia Carrillo",John McTiernan
127,The Bourne Ultimatum,2007,92%,"Matt Damon, Julia Stiles, Joan Allen, David Strathairn",Paul Greengrass
128,Total Recall,1990,83%,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox",Paul Verhoeven
129,Mad Max 2: The Road Warrior,1981,94%,"Mel Gibson, Bruce Spence, Emil Minty, Vernon Wells",George Miller
130,Heat,1995,88%,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",Michael Mann
131,The Raid: Redemption,2011,87%,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yayan Ruhian",Gareth Huw Evans
132,Mission: Impossible -- Fallout,2018,97%,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg",Christopher McQuarrie
133,Raiders of the Lost Ark,1981,96%,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler",Steven Spielberg
134,Aliens,1986,98%,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser",James Cameron
135,Hard-Boiled,1992,94%,"Chow Yun-Fat, Bowie Lam, Philip Chan, Tony Leung Chiu Wai",John Woo
136,The Matrix,1999,88%,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","Andy Wachowski, Larry Wachowski"
137,Terminator 2: Judgment Day,1991,93%,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",James Cameron
138,Die Hard,1988,94%,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",John McTiernan
139,Mad Max: Fury Road,2015,97%,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne",George Miller
